"fullVisitorId";"codssfamille";"nPPview";"nATC";"nConv"
"7926108618558685613";"121114";2;0;0
"8994729742035347686";"131311";2;0;0
"3751682749408060125";"124211";2;0;0
"4070221717608550090";"242111";7;2;1
"1924054936669126100";"246214";1;1;0
"8994729742035347686";"231219";1;0;0
"8994729742035347686";"111311";49;11;2
"7926108618558685613";"122112";2;0;0
"4070221717608550090";"232216";22;7;1
"1924054936669126100";"132215";4;5;1
"7926108618558685613";"166814";84;9;1
"7240561890237386120";"151211";4;0;0
"8102156888441549403";"151111";3;0;0
"4070221717608550090";"111214";2;0;0
"8994729742035347686";"121111";4;1;1
"8994729742035347686";"124211";2;0;0
"8994729742035347686";"131114";1;0;0
"4070221717608550090";"214114";5;1;0
"1924054936669126100";"111115";4;0;0
"3751682749408060125";"122213";1;1;0
"8102156888441549403";"221213";1;0;0
"4070221717608550090";"233211";7;0;0
"7240561890237386120";"211115";41;12;0
"7240561890237386120";"123111";9;2;0
"7926108618558685613";"151111";1;0;0
"1924054936669126100";"212111";11;5;4
"1924054936669126100";"141114";1;2;2
"7926108618558685613";"224115";1;0;0
"7926108618558685613";"161914";8;3;1
"8102156888441549403";"111215";3;1;0
"3751682749408060125";"111114";1;1;0
"8102156888441549403";"141114";2;1;1
"7240561890237386120";"132311";9;1;0
"1924054936669126100";"211115";32;4;2
"8994729742035347686";"211115";29;11;1
"7240561890237386120";"111311";8;0;0
"4070221717608550090";"111112";52;3;2
"3751682749408060125";"126211";4;4;0
"7240561890237386120";"214114";1;1;0
"4070221717608550090";"111213";4;0;0
"4070221717608550090";"111115";33;2;0
"3751682749408060125";"123111";4;3;0
"7240561890237386120";"213113";4;2;0
"8102156888441549403";"163513";2;0;0
"7926108618558685613";"163513";9;0;0
"7240561890237386120";"126311";1;0;0
"4070221717608550090";"112311";5;0;0
"8994729742035347686";"112111";11;1;1
"4070221717608550090";"213515";2;0;0
"7240561890237386120";"151112";1;0;0
"7926108618558685613";"152111";4;0;0
"4070221717608550090";"232513";4;1;1
"3751682749408060125";"164212";7;1;0
"8994729742035347686";"121112";1;0;0
"3751682749408060125";"122311";7;4;0
"4070221717608550090";"131114";6;1;0
"8102156888441549403";"122213";1;1;0
"3751682749408060125";"164112";4;0;0
"8102156888441549403";"122114";2;0;0
"7240561890237386120";"211317";1;1;0
"8102156888441549403";"162312";1;0;0
"7240561890237386120";"243116";2;0;0
"4070221717608550090";"166114";4;1;0
"7240561890237386120";"142114";2;0;0
"4070221717608550090";"211211";3;0;0
"3751682749408060125";"233111";2;1;0
"3751682749408060125";"125111";2;1;0
"8994729742035347686";"166814";3;0;0
"3751682749408060125";"111212";1;0;0
"7926108618558685613";"224113";1;0;0
